X,Y,id,nom,vertex_index,vertex_part,vertex_part_ring,vertex_part_index,distance,angle
-77.0362510080355,38.8976956646433,"3",aileEst,"0","0","0","0",0.00000000000000,297.46770267431373
-77.0362517729463,38.8976951189463,"3",aileEst,"1","0","0","1",0.00000093961357,162.13190694726063
-77.0361536094068,38.8976955158169,"3",aileEst,"2","0","0","2",0.00009910395527,132.43616921574665
-77.0361530994664,38.8976895627584,"3",aileEst,"3","0","0","3",0.00010507881468,132.56978454356599
-77.0358336217653,38.8976893643231,"3",aileEst,"4","0","0","4",0.00042455657742,46.28626701939710
-77.035833366795,38.8976951189463,"3",aileEst,"5","0","0","5",0.00043031684638,47.15119356298354
-77.0357818628081,38.8976935314641,"3",aileEst,"6","0","0","6",0.00048184529261,46.41613411478924
-77.0357805879569,38.8977619916032,"3",aileEst,"7","0","0","7",0.00055031730072,45.80994123294012
-77.035739474007,38.8977615947331,"3",aileEst,"8","0","0","8",0.00059143316612,40.85029176784954
-77.0357404938879,38.8977681430908,"3",aileEst,"9","0","0","9",0.00059806046919,40.96796629459687
-77.0356107140397,38.8977663571751,"3",aileEst,"10","0","0","10",0.00072785260494,136.86530031616539
-77.0356109690099,38.897761396298,"3",aileEst,"11","0","0","11",0.00073282003001,136.18526507498206
-77.0355711936537,38.8977617931682,"3",aileEst,"12","0","0","12",0.00077259736614,134.71416683869541
-77.0355711936537,38.8977260748428,"3",aileEst,"13","0","0","13",0.00080831569149,134.67571221099939
-77.0355010768398,38.8977268685836,"3",aileEst,"14","0","0","14",0.00087843699791,134.96095729848679
-77.0355041364826,38.8974195910295,"3",aileEst,"15","0","0","15",0.00118572978442,226.35429042106728
-77.0355732334155,38.8974221706981,"3",aileEst,"16","0","0","16",0.00125487485535,226.27353980585292
-77.0355734883858,38.8973864522019,"3",aileEst,"17","0","0","17",0.00129059426154,225.42681324580172
-77.0356182356615,38.8973867994652,"3",aileEst,"18","0","0","18",0.00133534288477,225.22231877352877
-77.0356182356615,38.8973822354338,"3",aileEst,"19","0","0","19",0.00133990691612,224.68084976804053
-77.0357429161051,38.8973808463808,"3",aileEst,"20","0","0","20",0.00146459509713,307.90811114486905
-77.0357444459265,38.8973871963374,"3",aileEst,"21","0","0","21",0.00147112673576,307.09176240397090
-77.035784476253,38.8973856088483,"3",aileEst,"22","0","0","22",0.00151118852754,314.09600329231517
-77.0357832014018,38.897543365406,"3",aileEst,"23","0","0","23",0.00166895023624,314.85426864859733
-77.0358585451055,38.8975423732275,"3",aileEst,"24","0","0","24",0.00174430047245,314.09603195698674
-77.0358595649864,38.8975978359851,"3",aileEst,"25","0","0","25",0.00179977260635,314.34281823373823
-77.0362517729462,38.8975960500651,"3",aileEst,"26","0","0","26",0.00219198463225,315.08952695080387
-77.0362510080355,38.8976956646433,"3",aileEst,"27","0","0","27",0.00229160214720,297.46770267431373
-77.0348015022649,38.8977860022451,"4",blocD,"0","0","0","0",0.00000000000000,349.59373484016305
-77.0348022671756,38.8977879865953,"4",blocD,"1","0","0","1",0.00000212667209,34.88052602008753
-77.0347482134864,38.8977871928552,"4",blocD,"2","0","0","2",0.00005618618878,45.18084546072272
-77.0347502532482,38.8980308706415,"4",blocD,"3","0","0","3",0.00029987251209,313.83154208221077
-77.0347747303905,38.8980300769042,"4",blocD,"4","0","0","4",0.00032436252054,313.91470358769055
-77.0347757502714,38.8982166049399,"4",blocD,"5","0","0","5",0.00051089334443,44.94179811452689
-77.0338517381496,38.8982134299987,"4",blocD,"6","0","0","6",0.00143491092085,134.71224305891593
-77.0338344001738,38.8969273687089,"4",blocD,"7","0","0","7",0.00272108907589,224.37047445734848
-77.0347688660752,38.8969194312116,"4",blocD,"8","0","0","8",0.00365558868778,314.12552419868337
-77.0347729455989,38.8971045731061,"4",blocD,"9","0","0","9",0.00384077552216,45.29752972800812
-77.0347484684566,38.8971037793584,"4",blocD,"10","0","0","10",0.00386526553094,45.69233982542136
-77.0347505082185,38.8973510313422,"4",blocD,"11","0","0","11",0.00411252592832,313.90639109569923
-77.0348035420268,38.8973494438522,"4",blocD,"12","0","0","12",0.00416558349091,314.27657559768483
-77.0348015022649,38.8977860022451,"4",blocD,"13","0","0","13",0.00460214664903,349.59373484016305
-77.0391920896651,38.8982457747054,"5",blocG,"0","0","0","0",0.00000000000000,79.14005013220520
-77.0385954593215,38.898250537115,"5",blocG,"1","0","0","1",0.00059664935048,89.61150906661102
-77.0383109125423,38.8982521245848,"5",blocG,"2","0","0","2",0.00088120055787,134.38159583257359
-77.0391941294269,38.8982449809705,"5",blocG,"5","0","0","5",0.00443232001251,33.88572520444234
-77.0391920896651,38.8982457747054,"5",blocG,"6","0","0","6",0.00443450876638,79.14005013220520
-77.0392369644259,38.8993133401933,"6",exec,"0","0","0","0",0.00000000000000,288.34072026562148
